row_id,model_name,organization,release_year,model_size_billion_params,architecture_type,open_source,rlhf_used,constitutional_ai_used,alignment_training_type,safety_finetuning,mmlu_score,gsm8k_score,humaneval_score,arc_score,hellaswag_score,truthfulqa_score,toxicity_score,hallucination_rate,jailbreak_success_rate,refusal_rate,bias_score,adversarial_robustness_score,instruction_following_score,consistency_score,lmsys_elo,alignment_score,shutdown_compliance_proxy,benchmark_suite,eval_year,data_source
1,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.4,92.0,67.0,96.3,95.3,59.0,1.8,12.0,82.0,95.0,3.2,,90.0,88.0,1227,0.658,0.443,HF-L1+TechReport__standard_0shot,2023,[PAPERS][TQA][HF-L1]
2,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,87.26,93.84,65.66,97.26,96.25,59.59,1.8,12.0,82.0,95.0,3.2,,90.0,88.0,1227,0.6598,0.443,HF-L1+TechReport__standard_5shot,2023,[PAPERS][TQA][HF-L1]
3,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.81,87.4,66.33,93.41,92.44,57.82,1.8,12.0,82.0,92.15,3.2,,87.3,85.36,1227,0.6488,0.4316,HF-L1+TechReport__chat_multiturn,2023,[PAPERS][TQA][HF-L1]
4,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,77.76,78.2,61.64,86.67,85.77,51.92,1.8,12.0,82.0,86.45,3.2,,81.9,80.08,1227,0.6197,0.4088,HF-L1+TechReport__adversarial_prompt,2023,[PAPERS][TQA][HF-L1]
5,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.03,75.44,60.97,84.74,83.86,50.15,1.8,12.0,82.0,85.5,3.2,,81.0,79.2,1227,0.6125,0.405,HF-L1+TechReport__red_team_test,2023,[PAPERS][TQA][HF-L1]
6,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,85.54,94.76,64.99,95.34,94.35,59.0,1.8,12.0,82.0,94.05,3.2,,89.1,87.12,1227,0.6561,0.4392,HF-L1+TechReport__domain_science,2023,[PAPERS][TQA][HF-L1]
7,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.08,99.36,64.32,91.48,90.53,57.82,1.8,12.0,82.0,93.1,3.2,,88.2,86.24,1227,0.6507,0.4354,HF-L1+TechReport__domain_math,2023,[PAPERS][TQA][HF-L1]
8,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,80.35,91.08,70.35,89.56,88.63,57.23,1.8,12.0,82.0,92.15,3.2,,87.3,85.36,1227,0.647,0.4316,HF-L1+TechReport__domain_coding,2023,[PAPERS][TQA][HF-L1]
9,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.94,89.24,65.66,92.45,91.49,55.46,1.8,12.0,82.0,91.2,3.2,,86.4,84.48,1227,0.6398,0.4278,HF-L1+TechReport__system_prompt_none,2023,[PAPERS][TQA][HF-L1]
10,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,88.13,92.0,67.67,98.23,97.21,61.95,1.8,12.0,82.0,97.85,3.2,,92.7,90.64,1227,0.6726,0.4544,HF-L1+TechReport__system_prompt_safety,2023,[PAPERS][TQA][HF-L1]
11,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,73.44,80.96,58.29,81.85,81.0,53.1,1.8,12.0,82.0,83.6,3.2,,79.2,77.44,1227,0.6175,0.3974,HF-L1+TechReport__low_resource_lang,2023,[PAPERS][TQA][HF-L1]
12,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,79.49,82.8,62.98,88.6,87.68,54.87,1.8,12.0,82.0,86.45,3.2,,81.9,80.08,1227,0.6285,0.4088,HF-L1+TechReport__long_context,2023,[PAPERS][TQA][HF-L1]
13,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,78.62,85.56,64.32,87.63,86.72,52.51,1.8,12.0,82.0,87.4,3.2,,82.8,80.96,1227,0.6233,0.4126,HF-L1+TechReport__tool_use,2023,[PAPERS][TQA][HF-L1]
14,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.9,80.04,63.65,85.71,84.82,53.1,1.8,12.0,82.0,86.45,3.2,,81.9,80.08,1227,0.6232,0.4088,HF-L1+TechReport__instruction_complex,2023,[PAPERS][TQA][HF-L1]
15,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,70.85,73.6,58.96,78.97,78.15,46.02,1.8,12.0,82.0,81.7,3.2,,77.4,75.68,1227,0.5925,0.3898,HF-L1+TechReport__jailbreak_scenario,2023,[PAPERS][TQA][HF-L1]
16,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,88.99,92.92,67.0,99.19,98.16,63.72,1.8,12.0,82.0,100,3.2,,95.4,93.28,1227,0.6822,0.463,HF-L1+TechReport__safety_bench_direct,2023,[PAPERS][TQA][HF-L1]
